CustomerName,ContactName,Address,City,PostalCode,Country
Alfreds Futterkiste,Maria Anders,Obere Str. 57,Berlin,12209,Germany
Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constitución 2222,México D.F.,5021,Mexico
Antonio Moreno Taquería,Antonio Moreno,Mataderos 2312,México D.F.,5023,Mexico
Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK
Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden
Blauer See Delikatessen,Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany
Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France
Bólido Comidas preparadas,Martín Sommer,"C/ Araquil, 67",Madrid,28023,Spain
Bon app',Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France
Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada
B's Beverages,Victoria Ashworth,Fauntleroy Circus,London,EC2 5NT,UK
Cactus Comidas para llevar,Patricio Simpson,Cerrito 333,Buenos Aires,1010,Argentina
Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,México D.F.,5022,Mexico
Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland
Comércio Mineiro,Pedro Afonso,"Av. dos Lusíadas, 23",São Paulo,05432-043,Brazil
Consolidated Holdings,Elizabeth Brown,Berkeley Gardens 12 Brewery,London,WX1 6LT,UK
Drachenblut Delikatessend,Sven Ottlieb,Walserweg 21,Aachen,52066,Germany
Du monde entier,Janine Labrune,"67, rue des Cinquante Otages",Nantes,44000,France
Eastern Connection,Ann Devon,35 King George,London,WX3 6FW,UK
Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria
Familia Arquibaldo,Aria Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil
FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,"C/ Moralzarzal, 86",Madrid,28034,Spain
Folies gourmandes,Martine Rancé,"184, chaussée de Tournai",Lille,59000,France